 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1064,231,1,147.535,271.132,0,5.995,1.066,1.454,2.134,3.355,0.067
1066,232,1,265.724,271.702,0,6.398,1.069,1.465,2.162,3.42,0.105
1069,233,1,462.933,278.654,0,4.083,0.972,1.253,1.734,2.58,0.021
1077,234,1,367.405,284.555,0,5.045,0.975,1.241,1.681,2.431,0.055
1084,235,1,421.579,290.586,0,6.942,1.11,1.537,2.282,3.62,0.066
1086,236,1,116.783,297.198,0,5.173,1.013,1.341,1.908,2.915,0.061
1088,237,1,18.685,301.921,0,3.726,0.955,1.225,1.686,2.494,0.025
1096,238,1,290.689,307.145,0,6.474,1.146,1.63,2.492,4.066,0.04
1099,239,1,438.476,310.695,0,5.788,0.999,1.311,1.849,2.803,0.046
1107,240,1,492.734,311.756,0,4.513,0.962,1.231,1.685,2.472,0.044
1112,241,1,35.722,315.479,0,5.472,0.975,1.241,1.684,2.443,0.033
1117,242,1,23.498,316.513,0,6.833,1.113,1.543,2.294,3.64,0.091
1119,243,1,211.623,327.152,0,4.818,0.989,1.288,1.798,2.691,0.045
1124,244,1,205.442,331.542,0,6.266,1.015,1.348,1.927,2.961,0.07
1126,245,1,64.173,334.503,0,5.935,1.018,1.361,1.962,3.043,0.07
1134,246,1,159.343,337.014,0,4.591,1.026,1.396,2.056,3.264,0.04
1138,247,1,492.357,337.512,0,6.498,1.041,1.405,2.04,3.179,0.116
1141,248,1,410.364,340.116,0,4.913,1.028,1.369,1.959,3.008,0.036
1143,249,1,258.059,341.73,0,2.934,0.94,1.216,1.689,2.528,0.007
1149,250,1,72.385,351.149,0,4.394,0.98,1.281,1.8,2.724,0.035
1153,251,1,222.182,355.385,0,5.899,1.051,1.401,2,3.052,0.065
1158,252,1,460.644,366.257,0,6.762,1.11,1.545,2.311,3.697,0.098
1161,253,1,121.406,371.685,0,6.622,1.04,1.416,2.083,3.299,0.088
1163,254,1,148.686,374.41,0,6.173,1.033,1.369,1.945,2.961,0.073
1165,255,1,247.865,378.487,0,5.055,0.973,1.261,1.754,2.622,0.058
1167,256,1,24.806,382.14,0,4.71,0.998,1.286,1.763,2.575,0.054
1176,257,1,31.204,384.2,0,5.969,1.077,1.475,2.175,3.435,0.057
1178,258,1,161.786,386.407,0,6.49,1.087,1.489,2.188,3.44,0.117
1180,259,1,448.359,390.359,0,6.345,1.037,1.379,1.967,3.006,0.09
1200,260,1,392.824,391.119,0,5.284,1.06,1.448,2.133,3.37,0.046
1212,261,1,483.723,392.175,0,5.648,1.089,1.533,2.335,3.819,0.02
1214,262,1,448.615,395.669,0,6.24,1.06,1.439,2.096,3.268,0.07
1220,263,1,479.446,395.921,0,3.453,0.944,1.202,1.639,2.398,0.009
1222,264,1,172.325,396.263,0,6.712,1.109,1.539,2.294,3.656,0.099
1224,265,1,142.53,397.509,0,6.825,1.06,1.452,2.146,3.41,0.08
1226,266,1,399.777,410.243,0,4.827,0.975,1.268,1.771,2.661,0.047
1237,267,1,456.095,418.432,0,3.921,0.964,1.235,1.694,2.494,0.033
1239,268,1,65.533,429.499,0,6.424,1.03,1.386,2.01,3.13,0.109
1241,269,1,213.652,456.734,0,5.646,1.007,1.337,1.915,2.955,0.043
1244,270,1,264.706,458.314,0,6.515,1.055,1.431,2.088,3.267,0.121
1252,271,1,434.44,458.547,0,5.745,0.952,1.196,1.598,2.281,0.021
1257,272,1,46.804,460.096,0,5.399,1.056,1.435,2.099,3.292,0.044
1259,273,1,248.407,463.623,0,6.637,1.053,1.433,2.098,3.298,0.092
1264,274,1,409.23,465.422,0,3.859,0.945,1.187,1.588,2.272,0.034
1269,275,1,24.273,466.862,0,5.725,1.05,1.412,2.037,3.149,0.039
1271,276,1,5.291,495.601,0,7.06,1.136,1.596,2.408,3.878,0.029
1274,277,1,59.537,497.197,0,4.406,0.951,1.205,1.632,2.373,0.035
1277,278,1,63.385,502.541,0,5.694,0.98,1.267,1.752,2.598,0.035
1279,279,1,233.185,507.338,0,6.389,1.086,1.492,2.202,3.478,0.092
1281,280,1,180.667,508.367,0,6.202,1.159,1.663,2.564,4.214,0.01
1283,281,1,63.723,510.372,0,5.321,1.029,1.343,1.868,2.773,0.064
2,1,2,292.194,2.535,0,6.065,1.02,1.347,1.906,2.892,0.055
15,4,2,20.504,4.722,0,5.844,0.991,1.294,1.814,2.736,0.039
19,5,2,375.718,20.343,0,6.579,1.04,1.394,2.007,3.095,0.096
